SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,115 Diamond Cove Ter,San Francisco,CA,94134,899000,2,2.5,San Francisco,1336,8709,2012,4,673,389,Active,,,http://www.redfin.com/CA/San-Francisco/115-Diamond-Cove-Ter-94134/home/45438562,San Francisco MLS,421541370,N,Y,37.7130851,-122.3943406
MLS Listing,,Condo/Co-op,1 Baker St Unit 4A,SAN FRANCISCO,CA,94117,1348998,2,2.0,SAN FRANCISCO,1337,,1982,4,1009,875,Active,,,http://www.redfin.com/CA/San-Francisco/1-Baker-St-94117/unit-4A/home/598282,MLSListings,ML81840303,N,Y,37.770968,-122.4407319
MLS Listing,,Multi-Family (2-4 Unit),82 Landers St,San Francisco,CA,94114,2395000,3,3.0,San Francisco,2117,3125,1903,29,1131,,Active,,,http://www.redfin.com/CA/San-Francisco/82-Landers-St-94114/home/1093547,San Francisco MLS,421532622,N,Y,37.7665349,-122.4280219
MLS Listing,,Single Family Residential,542 Rhode Island St,San Francisco,CA,94107,2398000,3,2.0,San Francisco,,2500,1938,31,,,Active,,,http://www.redfin.com/CA/San-Francisco/542-Rhode-Island-St-94107/home/727244,San Francisco MLS,421531300,N,Y,37.7628828,-122.4026251
MLS Listing,,Condo/Co-op,5800 3Rd St #1211,San Francisco,CA,94124,680000,1,1.0,Portola District,817,,2010,66,832,432,Active,,,http://www.redfin.com/CA/San-Francisco/5800-3rd-St-94124/unit-1211/home/40625857,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40938478,N,Y,37.7253452,-122.3948096
MLS Listing,,Condo/Co-op,855 Folsom St #510,San Francisco,CA,94107,950000,1,1.5,San Francisco,1030,55687,2001,69,922,722,Active,,,http://www.redfin.com/CA/San-Francisco/855-Folsom-St-94107/unit-510/home/12398153,San Francisco MLS,421520348,N,Y,37.7808956,-122.4019503
MLS Listing,,Condo/Co-op,1635 California St #24,San Francisco,CA,94109,1000000,2,2.0,San Francisco,915,,2005,101,1093,639,Active,,,http://www.redfin.com/CA/San-Francisco/1635-California-St-94109/unit-24/home/12277015,San Francisco MLS,511753,N,Y,37.7901978,-122.4213309
MLS Listing,,Single Family Residential,1330 Plymouth Ave,San Francisco,CA,94112,1999000,4,3.0,San Francisco,1985,4874,1923,1,1007,12,Active,,,http://www.redfin.com/CA/San-Francisco/1330-Plymouth-Ave-94112/home/1486677,San Francisco MLS,421542062,N,Y,37.7263601,-122.4562114
MLS Listing,,Single Family Residential,2744 Baker St,San Francisco,CA,94123,8995000,4,5.5,San Francisco,,2495,2020,1,,,Active,,,http://www.redfin.com/CA/San-Francisco/2744-Baker-St-94123/home/175010472,BAREIS,421541677,N,Y,37.7964383,-122.4454306
MLS Listing,,Condo/Co-op,1620 Fulton St,San Francisco,CA,94117,1395000,2,,San Francisco,1319,2556,1900,1,1058,100,Active,,,http://www.redfin.com/CA/San-Francisco/1620-Fulton-St-94117/home/110051739,San Francisco MLS,421542296,N,Y,37.7762711,-122.4436215
MLS Listing,,Single Family Residential,2707 Larkin St,San Francisco,CA,94109,11500000,4,7.0,San Francisco,5371,3713,1900,1,2141,,Active,,,http://www.redfin.com/CA/San-Francisco/2707-Larkin-St-94109/home/557159,San Francisco MLS,514141,N,Y,37.8030471,-122.4218397
MLS Listing,,Condo/Co-op,888 7th St #304,San Francisco,CA,94107,383277,1,1.0,San Francisco,535,95280,2007,1,716,385,Active,,,http://www.redfin.com/CA/San-Francisco/888-7th-St-94107/unit-304/home/17306051,San Francisco MLS,421542130,N,Y,37.7705534,-122.4004057
MLS Listing,,Multi-Family (2-4 Unit),1240 - 1244 Jones St,San Francisco,CA,94109,3300000,6,3.0,San Francisco,3540,1359,1908,1,932,,Active,,,http://www.redfin.com/CA/San-Francisco/1240-Jones-St-94109/home/1474634,San Francisco MLS,421540522,N,Y,37.7929965,-122.414187
MLS Listing,,Condo/Co-op,333 Beale St Unit 7A,San Francisco,CA,94105,1049000,1,1.0,San Francisco,873,75406,2015,1,1202,1156,Active,,,http://www.redfin.com/CA/San-Francisco/333-Beale-St-94105/unit-7A/home/110052455,San Francisco MLS,421542126,N,Y,37.7884937,-122.3918797
MLS Listing,,Single Family Residential,3526 19th St,San Francisco,CA,94110,4500000,4,4.5,San Francisco,3210,2500,2002,1,1402,,Active,,,http://www.redfin.com/CA/San-Francisco/3526-19th-St-94110/home/173631809,San Francisco MLS,421541979,N,Y,37.7602357,-122.4221026
MLS Listing,,Single Family Residential,245 Lakeshore Dr,San Francisco,CA,94132,1695000,3,,San Francisco,1774,3135,1955,1,955,,Active,,,http://www.redfin.com/CA/San-Francisco/245-Lakeshore-Dr-94132/home/1105660,San Francisco MLS,421541673,N,Y,37.7304836,-122.4972722
MLS Listing,,Condo/Co-op,1177 California St #1525,San Francisco,CA,94108,825000,1,1.0,San Francisco,653,,1978,1,1263,1102,Active,,,http://www.redfin.com/CA/San-Francisco/1177-California-St-94108/unit-1525/home/930091,San Francisco MLS,421541348,N,Y,37.7913209,-122.4137552
MLS Listing,,Multi-Family (2-4 Unit),1271 - 1273 7th Ave,San Francisco,CA,94122,1899000,5,3.0,San Francisco,3592,3000,1913,1,529,,Active,,,http://www.redfin.com/CA/San-Francisco/1271-7th-Ave-94122/home/626772,San Francisco MLS,421542218,N,Y,37.7646058,-122.4645353
MLS Listing,,Condo/Co-op,333 Bush St #4104,San Francisco,CA,94104,1500000,2,2.0,San Francisco,1382,,1987,1,1085,1522,Active,,,http://www.redfin.com/CA/San-Francisco/333-Bush-St-94104/unit-4104/home/978806,San Francisco MLS,421542291,N,Y,37.7906431,-122.4030566
MLS Listing,,Single Family Residential,438 17th Ave,San Francisco,CA,94121,2250000,3,2.5,San Francisco,2380,3000,1916,1,945,,Active,,,http://www.redfin.com/CA/San-Francisco/438-17th-Ave-94121/home/612546,San Francisco MLS,421538193,N,Y,37.779674,-122.475779
MLS Listing,,Condo/Co-op,333 1st St #1607,San Francisco,CA,94105,1298000,2,2.0,San Francisco,950,38571,2004,1,1366,928,Active,,,http://www.redfin.com/CA/San-Francisco/333-1st-St-94105/unit-1607/home/148061430,San Francisco MLS,421536208,N,Y,37.7872383,-122.3940289
